日付,心拍数
2023-11-30 15:00,52
2023-11-30 15:02,51
2023-11-30 15:04,50
2023-11-30 15:06,50
2023-11-30 15:08,51
2023-11-30 15:10,51
2023-11-30 15:12,51
2023-11-30 15:14,51
2023-11-30 15:16,52
2023-11-30 15:18,51
2023-11-30 15:20,51
2023-11-30 15:22,50
2023-11-30 15:24,50
2023-11-30 15:26,49
2023-11-30 15:28,50
2023-11-30 15:30,50
2023-11-30 15:32,50
2023-11-30 15:34,50
2023-11-30 15:36,56
2023-11-30 15:38,47
2023-11-30 15:40,48
2023-11-30 15:42,51
2023-11-30 15:44,47
2023-11-30 15:46,48
2023-11-30 15:48,47
2023-11-30 15:50,48
2023-11-30 15:52,47
2023-11-30 15:54,47
2023-11-30 15:56,48
2023-11-30 15:58,49
2023-11-30 16:00,52
2023-11-30 16:02,49
2023-11-30 16:04,48
2023-11-30 16:06,49
2023-11-30 16:08,49
2023-11-30 16:10,48
2023-11-30 16:12,48
2023-11-30 16:14,49
2023-11-30 16:16,48
2023-11-30 16:18,48
2023-11-30 16:20,48
2023-11-30 16:22,48
2023-11-30 16:24,54
2023-11-30 16:26,48
2023-11-30 16:28,50
2023-11-30 16:30,50
2023-11-30 16:32,53
2023-11-30 16:34,53
2023-11-30 16:36,49
2023-11-30 16:38,51
2023-11-30 16:40,56
2023-11-30 16:42,53
2023-11-30 16:44,51
2023-11-30 16:46,52
2023-11-30 16:48,50
2023-11-30 16:50,50
2023-11-30 16:52,49
2023-11-30 16:54,51
2023-11-30 16:56,49
2023-11-30 16:58,50
2023-11-30 17:00,50
2023-11-30 17:02,48
2023-11-30 17:04,50
2023-11-30 17:06,51
2023-11-30 17:08,54
2023-11-30 17:10,53
2023-11-30 17:12,51
2023-11-30 17:14,50
2023-11-30 17:16,50
2023-11-30 17:18,50
2023-11-30 17:20,56
2023-11-30 17:22,49
2023-11-30 17:24,49
2023-11-30 17:26,48
2023-11-30 17:28,48
2023-11-30 17:30,49
2023-11-30 17:32,49
2023-11-30 17:34,50
2023-11-30 17:36,50
2023-11-30 17:38,50
2023-11-30 17:40,49
2023-11-30 17:42,50
2023-11-30 17:44,49
2023-11-30 17:46,50
2023-11-30 17:48,53
2023-11-30 17:50,55
2023-11-30 17:52,53
2023-11-30 17:54,52
2023-11-30 17:56,57
2023-11-30 17:58,49
2023-11-30 18:00,48
2023-11-30 18:02,48
2023-11-30 18:04,48
2023-11-30 18:06,52
2023-11-30 18:08,49
2023-11-30 18:10,52
2023-11-30 18:12,50
2023-11-30 18:14,53
2023-11-30 18:16,53
2023-11-30 18:18,51
2023-11-30 18:20,51
2023-11-30 18:22,51
2023-11-30 18:24,49
2023-11-30 18:26,50
2023-11-30 18:28,50
2023-11-30 18:30,53
2023-11-30 18:32,53
2023-11-30 18:34,48
2023-11-30 18:36,50
2023-11-30 18:38,51
2023-11-30 18:40,51
2023-11-30 18:42,48
2023-11-30 18:44,48
2023-11-30 18:46,55
2023-11-30 18:48,49
2023-11-30 18:50,52
2023-11-30 18:52,54
2023-11-30 18:54,52
2023-11-30 18:56,56
2023-11-30 18:58,53
2023-11-30 19:00,56
2023-11-30 19:02,51
2023-11-30 19:04,52
2023-11-30 19:06,51
2023-11-30 19:08,54
2023-11-30 19:10,53
2023-11-30 19:12,53
2023-11-30 19:14,54
2023-11-30 19:16,52
2023-11-30 19:18,52
2023-11-30 19:20,53
2023-11-30 19:22,51
2023-11-30 19:24,53
2023-11-30 19:26,51
2023-11-30 19:28,56
2023-11-30 19:30,52
2023-11-30 19:32,51
