Date,Time,Minute,Sleep
2023-11-30,21:11:00,11,Sleep Start
2023-12-01,06:31:00,31,Sleep End
2023-11-30,11:11:00.0,11,Sleep Movement
2023-11-30,11:12:00.0,12,Sleep Movement
2023-11-30,11:13:00.0,13,Sleep Movement
2023-11-30,11:14:00.0,14,Sleep Movement
2023-11-30,11:15:00.0,15,Sleep Movement
2023-11-30,11:16:00.0,16,Sleep Movement
2023-11-30,11:17:00.0,17,Sleep Movement
2023-11-30,11:18:00.0,18,Sleep Movement
2023-11-30,11:19:00.0,19,Sleep Movement
2023-11-30,11:20:00.0,20,Sleep Movement
2023-11-30,11:21:00.0,21,Sleep Movement
2023-11-30,11:22:00.0,22,Sleep Movement
2023-11-30,11:23:00.0,23,Sleep Movement
2023-11-30,11:24:00.0,24,Sleep Movement
2023-11-30,11:25:00.0,25,Sleep Movement
2023-11-30,11:26:00.0,26,Sleep Movement
2023-11-30,11:27:00.0,27,Sleep Movement
2023-11-30,11:28:00.0,28,Sleep Movement
2023-11-30,11:29:00.0,29,Sleep Movement
2023-11-30,11:30:00.0,30,Sleep Movement
2023-11-30,11:31:00.0,31,Sleep Movement
2023-11-30,11:32:00.0,32,Sleep Movement
2023-11-30,11:33:00.0,33,Sleep Movement
2023-11-30,11:34:00.0,34,Sleep Movement
2023-11-30,11:35:00.0,35,Sleep Movement
2023-11-30,11:36:00.0,36,Sleep Movement
2023-11-30,11:37:00.0,37,Sleep Movement
2023-11-30,11:38:00.0,38,Sleep Movement
2023-11-30,11:39:00.0,39,Sleep Movement
2023-11-30,11:40:00.0,40,Sleep Movement
2023-11-30,11:41:00.0,41,Sleep Movement
2023-11-30,11:42:00.0,42,Sleep Movement
2023-11-30,11:43:00.0,43,Sleep Movement
2023-11-30,11:44:00.0,44,Sleep Movement
2023-11-30,11:45:00.0,45,Sleep Movement
2023-11-30,11:46:00.0,46,Sleep Movement
2023-11-30,11:47:00.0,47,Sleep Movement
2023-11-30,11:48:00.0,48,Sleep Movement
2023-11-30,11:49:00.0,49,Sleep Movement
2023-11-30,11:50:00.0,50,Sleep Movement
2023-11-30,11:51:00.0,51,Sleep Movement
2023-11-30,11:52:00.0,52,Sleep Movement
2023-11-30,11:53:00.0,53,Sleep Movement
2023-11-30,11:54:00.0,54,Sleep Movement
2023-11-30,11:55:00.0,55,Sleep Movement
2023-11-30,11:56:00.0,56,Sleep Movement
2023-11-30,11:57:00.0,57,Sleep Movement
2023-11-30,11:58:00.0,58,Sleep Movement
2023-11-30,11:59:00.0,59,Sleep Movement
2023-11-30,12:00:00.0,00,Sleep Movement
2023-11-30,12:01:00.0,01,Sleep Movement
2023-11-30,12:02:00.0,02,Sleep Movement
2023-11-30,12:03:00.0,03,Sleep Movement
2023-11-30,12:04:00.0,04,Sleep Movement
2023-11-30,12:05:00.0,05,Sleep Movement
2023-11-30,12:06:00.0,06,Sleep Movement
2023-11-30,12:07:00.0,07,Sleep Movement
2023-11-30,12:08:00.0,08,Sleep Movement
2023-11-30,12:09:00.0,09,Sleep Movement
2023-11-30,12:10:00.0,10,Sleep Movement
2023-11-30,12:11:00.0,11,Sleep Movement
2023-11-30,12:12:00.0,12,Sleep Movement
2023-11-30,12:13:00.0,13,Sleep Movement
2023-11-30,12:14:00.0,14,Sleep Movement
2023-11-30,12:15:00.0,15,Sleep Movement
2023-11-30,12:16:00.0,16,Sleep Movement
2023-11-30,12:17:00.0,17,Sleep Movement
2023-11-30,12:18:00.0,18,Sleep Movement
2023-11-30,12:19:00.0,19,Sleep Movement
2023-11-30,12:20:00.0,20,Sleep Movement
2023-11-30,12:21:00.0,21,Sleep Movement
2023-11-30,12:22:00.0,22,Sleep Movement
2023-11-30,12:23:00.0,23,Sleep Movement
2023-11-30,12:24:00.0,24,Sleep Movement
2023-11-30,12:25:00.0,25,Sleep Movement
2023-11-30,12:26:00.0,26,Sleep Movement
2023-11-30,12:27:00.0,27,Sleep Movement
2023-11-30,12:28:00.0,28,Sleep Movement
2023-11-30,12:29:00.0,29,Sleep Movement
2023-11-30,12:30:00.0,30,Sleep Movement
2023-11-30,12:31:00.0,31,Sleep Movement
2023-11-30,12:32:00.0,32,Sleep Movement
2023-11-30,12:33:00.0,33,Sleep Movement
2023-11-30,12:34:00.0,34,Sleep Movement
2023-11-30,12:35:00.0,35,Sleep Movement
2023-11-30,12:36:00.0,36,Sleep Movement
2023-11-30,12:37:00.0,37,Sleep Movement
2023-11-30,12:38:00.0,38,Sleep Movement
